Symbol,Date,Prev_Close,Open_Price,High_Price,Low_Price,Close_Price
SUNTV,8-Mar-19,613.7,614.85,620.2,591.3,595.65
SUNTV,11-Mar-19,595.65,604.7,620,597.2,616.85
SUNTV,12-Mar-19,616.85,618.55,625.75,613.3,617.55
SUNTV,13-Mar-19,617.55,619.45,621.75,609,612.55
SUNTV,14-Mar-19,612.55,614,623.65,603.05,614.65
SUNTV,15-Mar-19,614.65,617.4,630.75,610.2,617.5
SUNTV,18-Mar-19,617.5,623.65,626.55,613.05,620.45
SUNTV,19-Mar-19,620.45,622.9,630.55,616.5,621.55
SUNTV,20-Mar-19,621.55,621,621.05,612,616.55
SUNTV,22-Mar-19,616.55,620.9,620.9,589.45,596.05
SUNTV,25-Mar-19,596.05,584.85,590.9,572.4,579.85
SUNTV,26-Mar-19,579.85,583,591.95,581.05,584.8
SUNTV,27-Mar-19,584.8,587,601.7,586,589.25
SUNTV,28-Mar-19,589.25,587.4,610,587.4,606.05
SUNTV,29-Mar-19,606.05,609,639,608,628.1
SUNTV,1-Apr-19,628.1,630,637.9,621.55,629.5
SUNTV,2-Apr-19,629.5,627.55,650.7,620,641.8
SUNTV,3-Apr-19,641.8,641.4,641.8,626.25,630.5
SUNTV,4-Apr-19,630.5,630,639.9,623,627.4
SUNTV,5-Apr-19,627.4,629.8,640.6,629.5,638.55
SUNTV,8-Apr-19,638.55,636.7,643.9,622.55,626.95
SUNTV,9-Apr-19,626.95,625.45,627.95,604.35,610.6
SUNTV,10-Apr-19,610.6,609.7,618,594,596.4
SUNTV,11-Apr-19,596.4,597.45,606.5,591,599.25
SUNTV,12-Apr-19,599.25,602,605,595.8,602.45
SUNTV,15-Apr-19,602.45,606,608.7,592,594.15
SUNTV,16-Apr-19,594.15,598,603,594.4,596.9
SUNTV,18-Apr-19,596.9,600,603.7,585.5,588.25
SUNTV,22-Apr-19,588.25,590,603,583.55,601.2
SUNTV,23-Apr-19,601.2,601.2,605.95,576.75,580.45
SUNTV,24-Apr-19,580.45,585.45,589.75,582.45,588
SUNTV,25-Apr-19,588,590.3,597.45,573,575.75
SUNTV,26-Apr-19,575.75,581,583.25,568,574.8
SUNTV,30-Apr-19,574.8,577,579.1,559.2,574.25
SUNTV,2-May-19,574.25,575,577.35,555,558.15
SUNTV,3-May-19,558.15,559,561.35,551.45,555.1
SUNTV,6-May-19,555.1,552,559.3,548.6,553.05
SUNTV,7-May-19,553.05,553.05,557.5,546.05,551.1
SUNTV,8-May-19,551.1,548,550.9,525.2,528.9
SUNTV,9-May-19,528.9,525.8,546.7,523.95,540.7
SUNTV,10-May-19,540.7,542,553.4,538.5,541.15
SUNTV,13-May-19,541.15,539,548,527.9,535.65
SUNTV,14-May-19,535.65,528,544.5,520.65,537.65
SUNTV,15-May-19,537.65,537.4,546.9,522.35,525.5
SUNTV,16-May-19,525.5,527,536.4,524,530.7
SUNTV,17-May-19,530.7,531.6,537.75,527.5,534.1
SUNTV,20-May-19,534.1,550,566.7,540.15,563.35
SUNTV,21-May-19,563.35,565,571.85,542.25,544.65
SUNTV,22-May-19,544.65,548.8,556.9,532.4,554.3
SUNTV,23-May-19,554.3,579.95,597,545.5,547.85
