Symbol,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price
INDIGO,9-Apr-19,1413.15,1401.65,1411.25,1382.35,1391,1391.05
INDIGO,10-Apr-19,1391.05,1394,1425.25,1384.15,1393.65,1394
INDIGO,11-Apr-19,1394,1390,1414.9,1381.8,1400.35,1404.1
INDIGO,12-Apr-19,1404.1,1415,1436.8,1406.5,1426.15,1432.65
INDIGO,15-Apr-19,1432.65,1430,1483.9,1430,1471.4,1477.35
INDIGO,16-Apr-19,1477.35,1485.1,1610,1477.4,1579.65,1581.9
INDIGO,18-Apr-19,1581.9,1597,1650,1542.25,1555.1,1554.4
INDIGO,22-Apr-19,1554.4,1530,1544.8,1475.9,1490.65,1488.85
INDIGO,23-Apr-19,1488.85,1500,1520,1458.3,1474,1468.75
INDIGO,24-Apr-19,1468.75,1483,1489.8,1439.1,1474.1,1472.6
INDIGO,25-Apr-19,1472.6,1480,1511,1473,1493,1483.65
INDIGO,26-Apr-19,1483.65,1493,1507,1466.1,1480,1481.8
INDIGO,30-Apr-19,1481.8,1494.9,1522.9,1473.25,1516.25,1517
INDIGO,2-May-19,1517,1512.95,1549,1496.5,1540.7,1540.45
INDIGO,3-May-19,1540.45,1550,1604.3,1546.05,1570.1,1577.7
INDIGO,6-May-19,1577.7,1569.8,1597.45,1553,1561.15,1561.2
INDIGO,7-May-19,1561.2,1586.95,1586.95,1547.3,1570.05,1576.75
INDIGO,8-May-19,1576.75,1575.05,1585,1545.3,1575.75,1574.45
INDIGO,9-May-19,1574.45,1575.7,1575.7,1530.45,1540.1,1536.8
INDIGO,10-May-19,1536.8,1549.1,1551.9,1512.1,1533.95,1536.3
INDIGO,13-May-19,1536.3,1536.3,1566.7,1524,1553.5,1556.65
INDIGO,14-May-19,1556.65,1554.95,1579.1,1542.45,1564.3,1564.25
INDIGO,15-May-19,1564.25,1570,1622.4,1563.05,1603.55,1610.35
INDIGO,16-May-19,1610.35,1580,1580,1453.2,1475,1464.9
INDIGO,17-May-19,1464.9,1450,1498.35,1413.7,1479.3,1473.75
INDIGO,20-May-19,1473.75,1519,1530,1440.8,1452,1454.95
INDIGO,21-May-19,1454.95,1482,1511,1455,1482,1477.05
INDIGO,22-May-19,1477.05,1500,1516.8,1468.6,1510.5,1509.1
INDIGO,23-May-19,1509.1,1512,1557,1512,1549.9,1543.9
INDIGO,24-May-19,1543.9,1570.95,1630.9,1566.65,1618,1621.75
INDIGO,27-May-19,1621.75,1616,1669.45,1596.65,1666.6,1662.15
INDIGO,28-May-19,1662.15,1698,1716,1648.15,1652.6,1657.45
INDIGO,29-May-19,1657.45,1667.8,1667.8,1627.05,1637,1640.45
INDIGO,30-May-19,1640.45,1644.95,1663,1625,1647.55,1644.05
INDIGO,31-May-19,1644.05,1659.9,1680,1655,1678.9,1676.3
INDIGO,3-Jun-19,1676.3,1696.1,1711,1681.05,1685.3,1691.35
INDIGO,4-Jun-19,1691.35,1677.3,1704.6,1677.3,1683.5,1686.3
INDIGO,6-Jun-19,1686.3,1691,1699.15,1666.15,1669.9,1670.85
INDIGO,7-Jun-19,1670.85,1651.5,1677,1645.7,1664.15,1661.2
INDIGO,10-Jun-19,1661.2,1664.15,1673,1650,1659,1657.5
INDIGO,11-Jun-19,1657.5,1659.7,1684.5,1655.85,1680,1675.9
INDIGO,12-Jun-19,1675.9,1675.9,1680,1629,1657.5,1650.95
INDIGO,13-Jun-19,1650.95,1672.65,1694,1655.05,1675.25,1676.15
INDIGO,14-Jun-19,1676.15,1685,1686.6,1639.65,1646,1645.9
INDIGO,17-Jun-19,1645.9,1640,1654.15,1634.5,1637.2,1642.55
INDIGO,18-Jun-19,1642.55,1668.95,1674.1,1648.05,1668,1662.65
INDIGO,19-Jun-19,1662.65,1673.95,1683,1590.15,1615.1,1609.15
INDIGO,20-Jun-19,1609.15,1622,1623.95,1564,1568.35,1582.25
INDIGO,21-Jun-19,1582.25,1559.9,1564,1531.05,1558.5,1552.1
INDIGO,24-Jun-19,1552.1,1540,1572.25,1536.2,1556.95,1555.05
INDIGO,25-Jun-19,1555.05,1556.95,1609,1555.35,1598,1603.45
INDIGO,26-Jun-19,1603.45,1605,1609.85,1571.6,1578.2,1575.8
INDIGO,27-Jun-19,1575.8,1575,1592.5,1568.2,1588,1583.35
INDIGO,28-Jun-19,1583.35,1598.7,1598.7,1551.2,1557.05,1557.95
INDIGO,1-Jul-19,1557.95,1560.5,1591,1560.5,1582,1581.1
INDIGO,2-Jul-19,1581.1,1586.05,1586.1,1552.85,1561.45,1563.6
INDIGO,3-Jul-19,1563.6,1579.7,1585.9,1567,1581.1,1579.45
INDIGO,4-Jul-19,1579.45,1582.6,1647,1573.7,1639,1635.75
INDIGO,5-Jul-19,1635.75,1639,1661,1554.2,1562,1562
INDIGO,8-Jul-19,1562,1562,1578.95,1548.95,1572.7,1571.05
INDIGO,9-Jul-19,1571.05,1576,1577,1508.65,1566,1566.3
